Player Name,Position,Team,Rookie,SFValue,Value
Max Klare,TE,LAR,Yes,2203,2649
2028 Early 3rd,PI,PICK,No,2199,2677
Kimani Vidal,RB,LAC,No,2192,2704
David Njoku,TE,LAC,No,2188,2595
Pat Freiermuth,TE,PIT,No,2182,2572
Greg Dulcich,TE,MIA,No,2181,2657
Jaylen Wright,RB,MIA,No,2156,2712
Dalton Schultz,TE,HOU,No,2155,2539
Sean Tucker,RB,TBB,No,2152,2710
2028 Mid 3rd,PI,PICK,No,2145,2508
Chimere Dike,WR,TEN,No,2139,2655
Cade Klubnik,QB,NYJ,Yes,2138,1347
Michael Mayer,TE,LVR,No,2133,2609
Oscar Delp,TE,NOS,Yes,2126,2471
Jalen Milroe,QB,SEA,No,2118,2205
Jordan James,RB,SFO,No,2114,2744
Alvin Kamara,RB,NOS,No,2105,2584
Kyle Williams,WR,NEP,No,2104,2613
Kevin Coleman,WR,MIA,Yes,2101,2552
Isiah Pacheco,RB,DET,No,2096,2639
2026 Late 3rd,PI,PICK,No,2096,2525
Rashod Bateman,WR,BAL,No,2085,2623
Tez Johnson,WR,TBB,No,2073,2532
Geno Smith,QB,NYJ,No,2067,1600
Marvin Mims,WR,DEN,No,2056,2539
Isaiah Bond,WR,CLE,No,2047,2526
LeQuint Allen,RB,JAC,No,2046,2530
Kaleb Johnson,RB,PIT,No,2018,2542
Jaylin Lane,WR,WAS,No,2004,2437
2028 Late 3rd,PI,PICK,No,2002,2355
Trey Benson,RB,ARI,No,1993,2498
Ryan Flournoy,WR,DAL,No,1979,2454
Cole Kmet,TE,CHI,No,1975,2376
Theo Johnson,TE,NYG,No,1966,2416
Justin Joly,TE,DEN,Yes,1963,2226
Jake Tonges,TE,SFO,No,1962,2347
Colby Parkinson,TE,LAR,No,1954,2406
Anthony Richardson,QB,IND,No,1949,2009
Roman Wilson,WR,PIT,No,1948,2265
Ray Davis,RB,BUF,No,1938,2424
Zavion Thomas,WR,CHI,Yes,1933,2182
Adam Randall,RB,BAL,Yes,1918,2235
Aaron Rodgers,QB,PIT,No,1914,1539
Xavier Legette,WR,CAR,No,1910,2377
